In/H1,H1/H2,H2/Out,Graph
-0.57986224,-0.12688816,,
0.24090266,0.5302576,,
0.32383195,0.41961038,,
0.60083544,-0.3919218,,
0.38125014,-0.84054005,,
-0.97114277,0.7803378,,
-0.2940408,-0.68911207,,
-0.20238757,0.6627846,,
-0.572165,-0.3222846,,
-0.22983956,0.6052761,,
0.020318732,0.9607524,,
0.763252,-0.5737703,,
0.40094197,-0.69297004,,
0.17750843,0.7458602,,
0.6723638,0.35868263,,
0.28567505,-0.69574106,,
-0.39892912,-0.616017,,
0.7678293,0.88153017,,
-0.69825566,1.0,,
0.07385805,-0.53012866,,
-1.0,-0.08495864,,
0.32381892,-0.02079916,,
-0.5928459,-0.25625432,,
0.82532847,-0.58731866,,
-0.9348279,-0.43312526,,
0.87074685,0.44274104,,
-0.05703342,0.3870061,,
-0.7651601,0.6711376,,
0.41652632,-0.03261008,,
0.9317266,0.62552214,,
0.96105146,0.11559546,,
0.5951441,-0.63868266,,
-0.13876939,0.6620673,,
-0.423746,0.5086589,,
1.0,0.26689434,,
0.23589122,0.92011344,,
-0.34946823,-0.5258024,,
-0.480902,0.092626095,,
-0.6622478,-0.5423846,,
0.93396956,0.09854697,,
-0.6371878,-0.77489245,,
-1.0,-0.81758225,,
0.23208117,-0.261635,,
0.13681784,0.5528568,,
0.004813075,0.7188858,,
-0.3342217,0.5158596,,
-0.0641073,-0.9319798,,
-0.9228169,0.37812328,,
-0.22788346,-0.25147742,,
-0.22272408,-0.035859495,,
0.36921462,-0.12617576,,
-0.8590915,-0.14690089,,
-0.5491292,0.60444677,,
0.96945286,-0.5326581,,
0.972625,0.9670075,,
0.92366433,0.39937198,,
-0.9865103,1.0,,
0.037006807,0.26755726,,
0.84077036,-0.46246958,,
0.72827685,0.5810206,,
0.53212845,0.001619339,,
0.24601328,0.42920512,,
-0.4128101,-0.97929275,,
0.9637886,0.76546264,,
0.42764127,-0.03081569,,
0.6002798,0.37398493,,
0.2655046,-0.4935949,,
-0.5856799,-0.75951004,,
-0.78631866,-0.20088226,,
0.110361196,0.6233821,,
